PID	Scan_ID	ROI	segment	AOI	x	y
P001	P001 1B	001	CD45+	001	295	569
P001	P001 1B	002	CD45+	001	329	618
P001	P001 1B	003	CD45+	001	264	649
P001	P001 1B	004	CD45+	001	304	692
P001	P001 1B	005	CD45+	001	364	665
P001	P001 1B	006	CD45+	001	155	698
P001	P001 1B	007	CD45+	001	464	687
P001	P001 1B	008	CD45+	001	366	766
P001	P001 1B	009	CD45+	001	227	150
P001	P001 1B	010	CD45+	001	409	73
P001	P001 1B	011	CD45+	001	511	609
P001	P001 1B	012	CD45+	001	255	270
P001	P001 1B	013	CD45+	001	263	809
P001	P001 1B	014	CD45+	001	322	402
