Segment displayed name				P011 1A | 001 | CD45+	P011 1A | 018 | CD45+	P011 1A | 017 | CD45+	P011 1A | 016 | CD45+	P011 1A | 015 | CD45+	P011 1A | 014 | CD45+	P011 1A | 013 | CD45+	P011 1A | 012 | CD45+	P011 1A | 011 | CD45+	P011 1A | 010 | CD45+	P011 1A | 009 | CD45+	P011 1A | 008 | CD45+	P011 1A | 007 | CD45+	P011 1A | 006 | CD45+	P011 1A | 005 | CD45+	P011 1A | 004 | CD45+	P011 1A | 003 | CD45+	P011 1A | 002 | CD45+	P011 1A | 019 | CD45+	P012 1A | 016 | CD45+	P012 1A | 015 | CD45+	P012 1A | 014 | CD45+	P012 1A | 013 | CD45+	P012 1A | 012 | CD45+	P012 1A | 011 | CD45+	P012 1A | 010 | CD45+	P012 1A | 009 | CD45+	P012 1A | 008 | CD45+	P012 1A | 007 | CD45+	P012 1A | 006 | CD45+	P012 1A | 005 | CD45+	P012 1A | 004 | CD45+	P012 1A | 003 | CD45+	P012 1A | 002 | CD45+	P012 1A | 001 | CD45+	P012 1A | 017 | CD45+	P013 1A | 001 | CD45+	P013 1A | 018 | CD45+	P013 1A | 017 | CD45+	P013 1A | 016 | CD45+	P013 1A | 015 | CD45+	P013 1A | 014 | CD45+	P013 1A | 013 | CD45+	P013 1A | 012 | CD45+	P013 1A | 011 | CD45+	P013 1A | 010 | CD45+	P013 1A | 009 | CD45+	P013 1A | 008 | CD45+	P013 1A | 007 | CD45+	P013 1A | 006 | CD45+	P013 1A | 005 | CD45+	P013 1A | 004 | CD45+	P013 1A | 003 | CD45+	P013 1A | 002 | CD45+	P013 1A | 019 | CD45+	P014 1A | 016 | CD45+	P014 1A | 015 | CD45+	P014 1A | 014 | CD45+	P014 1A | 013 | CD45+	P014 1A | 012 | CD45+	P014 1A | 011 | CD45+	P014 1A | 010 | CD45+	P014 1A | 009 | CD45+	P014 1A | 008 | CD45+	P014 1A | 007 | CD45+	P014 1A | 006 | CD45+	P014 1A | 005 | CD45+	P014 1A | 004 | CD45+	P014 1A | 003 | CD45+	P014 1A | 002 | CD45+	P014 1A | 001 | CD45+	P014 1A | 017 | CD45+
ROI				e3671d5c-2bb3-4b74-ace1-af8a30b2bd99	3c850b83-f11c-411f-8814-35cd1b88f9f4	9d0b8503-07a6-4bcc-9ffd-41d7225701c8	4ef41cc5-9475-4ebe-b35c-572f92aefb8b	4239501f-08c1-4883-803b-168170f04fb6	3b129ae5-f5ef-4770-a7ec-6406ba8180f7	b39047ee-5b14-4b6b-a2f5-330961d12183	1c9e36f9-fd96-451c-8a93-800e5af19968	224d4977-9d38-4a2c-b5ec-a306af4de392	e83b2fae-8254-4dfa-995e-e0b233eec6bd	a846841d-774d-49a6-b73c-581f27ce6117	b1a75800-603f-48a5-aa3f-71de74d2eb29	39a95bf2-54d2-4752-9fda-5b66164656ef	63fceb2c-688a-46f5-b4dd-11988e5e4424	f841b2b6-7768-482c-9626-71b8d2ea2f1d	8ac2389e-4cd3-4f71-9f47-bc56737a3100	f2137554-ae49-4c9d-8931-78da6fba7ed4	651c1240-6b9a-40ea-a1dc-ff8f63532f0b	0c10bc63-1f32-4d21-b01a-616ae9e5e1ba	06152a12-34f9-4da1-8c25-1348e21b2499	958194c2-0fdb-45f7-af6c-73945c9f681d	ebf21c9a-2a2a-4ec8-8471-a5a78158ca14	a9a2ab76-4ac2-4924-8119-6ca999c529c0	e563bec0-195b-4a13-9b5d-df13821c0c4b	36b76534-365c-4d9a-8c93-a7a1ad5ccae2	6a413940-4724-4a67-b35d-ba776a55e00f	8f4d221a-04cf-4a50-ab2c-22f85fec1e23	31f52b15-2ee9-4603-99f9-b7dac35b684e	6a23b1ff-d647-4955-a9c6-6ca4daf4761c	3f1a0427-ebb9-4232-b24e-ac7ef064c8fe	e7cd9203-158e-4e88-9955-46e11734afa7	f81bc16d-2dde-48b8-a5ca-dcc3d8cd15ec	aaee3db5-4418-4df9-b812-7621204013ed	2c113671-56b7-4367-b711-07a1fe4cc17c	90576b4b-1679-46cb-8506-e130688ebfd3	1ce97136-ffbb-44f8-b66b-ef965adadb87	e3671d5c-2bb3-4b74-ace1-af8a30b2bd99	3c850b83-f11c-411f-8814-35cd1b88f9f4	9d0b8503-07a6-4bcc-9ffd-41d7225701c8	4ef41cc5-9475-4ebe-b35c-572f92aefb8b	4239501f-08c1-4883-803b-168170f04fb6	3b129ae5-f5ef-4770-a7ec-6406ba8180f7	b39047ee-5b14-4b6b-a2f5-330961d12183	1c9e36f9-fd96-451c-8a93-800e5af19968	224d4977-9d38-4a2c-b5ec-a306af4de392	e83b2fae-8254-4dfa-995e-e0b233eec6bd	a846841d-774d-49a6-b73c-581f27ce6117	b1a75800-603f-48a5-aa3f-71de74d2eb29	39a95bf2-54d2-4752-9fda-5b66164656ef	63fceb2c-688a-46f5-b4dd-11988e5e4424	f841b2b6-7768-482c-9626-71b8d2ea2f1d	8ac2389e-4cd3-4f71-9f47-bc56737a3100	f2137554-ae49-4c9d-8931-78da6fba7ed4	651c1240-6b9a-40ea-a1dc-ff8f63532f0b	0c10bc63-1f32-4d21-b01a-616ae9e5e1ba	06152a12-34f9-4da1-8c25-1348e21b2499	958194c2-0fdb-45f7-af6c-73945c9f681d	ebf21c9a-2a2a-4ec8-8471-a5a78158ca14	a9a2ab76-4ac2-4924-8119-6ca999c529c0	e563bec0-195b-4a13-9b5d-df13821c0c4b	36b76534-365c-4d9a-8c93-a7a1ad5ccae2	6a413940-4724-4a67-b35d-ba776a55e00f	8f4d221a-04cf-4a50-ab2c-22f85fec1e23	31f52b15-2ee9-4603-99f9-b7dac35b684e	6a23b1ff-d647-4955-a9c6-6ca4daf4761c	3f1a0427-ebb9-4232-b24e-ac7ef064c8fe	e7cd9203-158e-4e88-9955-46e11734afa7	f81bc16d-2dde-48b8-a5ca-dcc3d8cd15ec	aaee3db5-4418-4df9-b812-7621204013ed	2c113671-56b7-4367-b711-07a1fe4cc17c	90576b4b-1679-46cb-8506-e130688ebfd3	1ce97136-ffbb-44f8-b66b-ef965adadb87
ROI (label)				001	018	017	016	015	014	013	012	011	010	009	008	007	006	005	004	003	002	019	016	015	014	013	012	011	010	009	008	007	006	005	004	003	002	001	017	001	018	017	016	015	014	013	012	011	010	009	008	007	006	005	004	003	002	019	016	015	014	013	012	011	010	009	008	007	006	005	004	003	002	001	017
Segment				b7a58df2-0d76-4040-a5df-d4dcc1c004ff	42b8da36-0f2f-4f65-a116-ed4452e3ebe9	e3c228e8-352e-4d69-b496-608b0c856758	8ec24893-481c-4e5a-9d94-b1267a250265	94d88b70-c159-4b46-9e4d-381eb05a6332	0c67164a-eb51-43fe-95a1-5cb70d580609	4bcc16e7-05ca-4e52-b7b1-1705467071e6	f1c5e152-1620-459a-bf3a-0b0c3fe8b650	9807bc65-f925-4d4d-bb2c-4fc8fa42f4c7	73dc6a55-b619-4bfb-90fe-bdbff757a81f	a9cc3f0f-e80f-4c5b-89c4-ddfb0f015564	bad4d71c-2a92-4bfc-9899-748134078e5b	c6fbb2d9-5288-4ada-a359-dc5710cc42fa	c2a00ec7-e46d-4b45-a90b-7b330f36cfde	c9be3d94-b3fc-42ea-a15c-82b1d3923919	500332db-43ad-429c-8597-18954871d945	5f4e8e76-e8dd-4a06-86b0-c0dfaf6bec24	c3aee64a-d6d8-4be5-abdb-f6ce581d4fe3	1d4eaefd-6fa2-4107-b757-10a8b81306eb	7c8718bf-52a6-48c8-9efe-ae1ffc177a21	606d9368-8493-4af0-9951-bd45debd82ce	84da706a-7a6d-469a-bd39-01e94797cf1c	5eec0fb9-1f28-4b87-9e19-1763aea3073d	9a4b9160-80f6-40b3-b4d3-8b76c56cce3f	cf616478-780d-4a19-ae8a-db1a1c9ebb4e	45897a0b-1539-46e0-a3cb-d89295668a7f	66c0e3d6-3c56-49e2-9916-f9d464dcb5b0	601aa80c-d888-44af-ad1c-e1aa84e3ae13	bb87744d-f870-4018-b15f-febe3e3e21d3	912e2047-291e-4acc-ac81-9b93555a6c98	ea65b398-05e7-4f53-9176-fdfc49a619e0	b6e2e61f-91f4-41fd-a8b9-7252a0ac44f9	87d851bf-ea9c-4471-9f38-e1696aa93495	78c10bfc-6f27-4362-9f3e-9a639e440b6e	4484afdb-dc81-4d46-bc4f-942261f074ea	5ce2f165-a32f-4ee2-a9f8-634a0f633621	b7a58df2-0d76-4040-a5df-d4dcc1c004ff	42b8da36-0f2f-4f65-a116-ed4452e3ebe9	e3c228e8-352e-4d69-b496-608b0c856758	8ec24893-481c-4e5a-9d94-b1267a250265	94d88b70-c159-4b46-9e4d-381eb05a6332	0c67164a-eb51-43fe-95a1-5cb70d580609	4bcc16e7-05ca-4e52-b7b1-1705467071e6	f1c5e152-1620-459a-bf3a-0b0c3fe8b650	9807bc65-f925-4d4d-bb2c-4fc8fa42f4c7	73dc6a55-b619-4bfb-90fe-bdbff757a81f	a9cc3f0f-e80f-4c5b-89c4-ddfb0f015564	bad4d71c-2a92-4bfc-9899-748134078e5b	c6fbb2d9-5288-4ada-a359-dc5710cc42fa	c2a00ec7-e46d-4b45-a90b-7b330f36cfde	c9be3d94-b3fc-42ea-a15c-82b1d3923919	500332db-43ad-429c-8597-18954871d945	5f4e8e76-e8dd-4a06-86b0-c0dfaf6bec24	c3aee64a-d6d8-4be5-abdb-f6ce581d4fe3	1d4eaefd-6fa2-4107-b757-10a8b81306eb	7c8718bf-52a6-48c8-9efe-ae1ffc177a21	606d9368-8493-4af0-9951-bd45debd82ce	84da706a-7a6d-469a-bd39-01e94797cf1c	5eec0fb9-1f28-4b87-9e19-1763aea3073d	9a4b9160-80f6-40b3-b4d3-8b76c56cce3f	cf616478-780d-4a19-ae8a-db1a1c9ebb4e	45897a0b-1539-46e0-a3cb-d89295668a7f	66c0e3d6-3c56-49e2-9916-f9d464dcb5b0	601aa80c-d888-44af-ad1c-e1aa84e3ae13	bb87744d-f870-4018-b15f-febe3e3e21d3	912e2047-291e-4acc-ac81-9b93555a6c98	ea65b398-05e7-4f53-9176-fdfc49a619e0	b6e2e61f-91f4-41fd-a8b9-7252a0ac44f9	87d851bf-ea9c-4471-9f38-e1696aa93495	78c10bfc-6f27-4362-9f3e-9a639e440b6e	4484afdb-dc81-4d46-bc4f-942261f074ea	5ce2f165-a32f-4ee2-a9f8-634a0f633621
Segment (Name/ Label)				CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+
Segment tags				CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+	CD45+
AOI				001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001	001
AOI surface area				69273.747562	39004.098957	12469.703663	10913.4938	10673.832396	16786.310698	7570.312563	42953.585406	27904.343111	19299.735839	33329.781459	10715.471181	18616.033345	40380.721694	44331.161702	12584.130859	60241.150793	69832.374775	15994.538074	14557.84106	15021.271203	23890.809218	63647.902694	18973.777258	30105.63629	37293.730233	57791.614169	58796.825299	77710.210426	54668.38743	41741.451764	142347.908364	84712.201249	62060.543206	78164.422823	7460.653167	69273.747562	39004.098957	12469.703663	10913.4938	10673.832396	16786.310698	7570.312563	42953.585406	27904.343111	19299.735839	33329.781459	10715.471181	18616.033345	40380.721694	44331.161702	12584.130859	60241.150793	69832.374775	15994.538074	14557.84106	15021.271203	23890.809218	63647.902694	18973.777258	30105.63629	37293.730233	57791.614169	58796.825299	77710.210426	54668.38743	41741.451764	142347.908364	84712.201249	62060.543206	78164.422823	7460.653167
AOI nuclei count				1131	567	228	188	181	259	119	708	455	311	516	174	313	626	668	214	920	1108	269	247	263	372	1006	233	545	622	910	970	1314	895	599	2301	1381	1015	1211	122	1131	567	228	188	181	259	119	708	455	311	516	174	313	626	668	214	920	1108	269	247	263	372	1006	233	545	622	910	970	1314	895	599	2301	1381	1015	1211	122
Fov count				280	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00
Fov counted				280	280.00	280.00	279.00	279.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	279.00	280.00	280.00	279.00	279.00	280.00	279.00	279.00	280.00	279.00	280.00	280.00	278.00	280.00	279.00	280.00	280.00	279.00	280.00	279.00	280.00	279.00	280.00	280.00	280	280.00	280.00	279.00	279.00	280.00	280.00	280.00	280.00	280.00	280.00	280.00	279.00	280.00	280.00	279.00	279.00	280.00	279.00	279.00	280.00	279.00	280.00	280.00	278.00	280.00	279.00	280.00	280.00	279.00	280.00	279.00	280.00	279.00	280.00	280.00
BindingDensity				0.15	0.16	0.14	0.14	0.16	0.16	0.15	0.14	0.14	0.19	0.2	0.18	0.14	0.16	0.14	0.14	0.16	0.16	0.14	0.27	0.31	0.28	0.34	0.32	0.34	0.28	0.32	0.22	0.3	0.29	0.27	0.27	0.31	0.28	0.34	0.27	0.15	0.16	0.14	0.14	0.16	0.16	0.15	0.14	0.14	0.19	0.2	0.18	0.14	0.16	0.14	0.14	0.16	0.16	0.14	0.27	0.31	0.28	0.34	0.32	0.34	0.28	0.32	0.22	0.3	0.29	0.27	0.27	0.31	0.28	0.34	0.27
Scan name				P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P011 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A	P012 1A
