PID	Scan_ID	ROI	segment	AOI
P011	P011 1A	1	CD45+	1
P011	P011 1A	2	CD45+	1
P012	P012 1A	1	CD45+	1
P012	P012 1A	2	CD45+	1
P012	P012 1A	3	CD45+	1
P013	P013 1A	1	CD45+	1
P013	P013 1A	2	CD45+	1
P014	P014 1A	1	CD45+	1
P014	P014 1A	2	CD45+	1
P015	P015 1A	1	CD45+	1
P015	P015 1A	2	CD45+	1
P015	P015 1A	3	CD45+	1
P015	P015 1A	4	CD45+	1
P016	P016 1A	1	CD45+	1
P016	P016 1A	2	CD45+	1
P016	P016 1A	3	CD45+	1
P017	P017 1A	1	CD45+	1
P017	P017 1A	2	CD45+	1
P018	P018 1A	1	CD45+	1
P018	P018 1A	2	CD45+	1
P019	P019 1A	1	CD45+	1
P019	P019 1A	2	CD45+	1
P019	P019 1A	3	CD45+	1
P019	P019 1A	4	CD45+	1
P019	P019 1A	5	CD45+	1
P020	P020 1A	1	CD45+	1
P020	P020 1A	2	CD45+	1
