PID	Scan_ID	ROI	segment	AOI	x	y
P003	P003 1A	001	CD45+	001	NA	NA
P003	P003 1A	002	CD45+	001	NA	NA
P003	P003 1A	003	CD45+	001	NA	NA
P003	P003 1A	004	CD45+	001	NA	NA
P003	P003 1A	005	CD45+	001	NA	NA
P003	P003 1A	006	CD45+	001	NA	NA
P003	P003 1A	007	CD45+	001	NA	NA
P003	P003 1A	008	CD45+	001	NA	NA
P003	P003 1A	009	CD45+	001	NA	NA
P004	P004 1A	001	CD45+	001	NA	NA
P004	P004 1A	002	CD45+	001	NA	NA
P004	P004 1A	003	CD45+	001	NA	NA
P004	P004 1A	004	CD45+	001	NA	NA
P004	P004 1A	005	CD45+	001	NA	NA
P004	P004 1A	006	CD45+	001	NA	NA
